طبق تعریف ارائه شده، داده (Data) چیست؟,واقعیت‌ها و ارقام خام (Raw facts and figures).
کدام مهارت به عنوان اولین و بنیادی‌ترین مهارت برای یک تحلیل‌گر داده توصیه می‌شود؟,زبان پرس‌وجوی ساختاریافته یا SQL.
تفاوت اصلی بین Metric و KPI در چیست؟,یک KPI معیاری است که مستقیماً پیشرفت به سمت یک هدف خاص را اندازه‌گیری می‌کند.
داده‌های موجود در یک فایل اکسل (Excel) در کدام دسته از انواع داده قرار می‌گیرند؟,داده‌های ساختاریافته (Structured Data).
فرمت فایل _____ نمونه‌ای از داده‌های نیمه‌ساختاریافته (Semi-structured) است که داده‌ها را به صورت سلسله‌مراتبی ذخیره می‌کند.,JSON
فرآیند استخراج، تغییر شکل و بارگذاری داده‌ها چه نامیده می‌شود؟,"ETL (Extract, Transform, Load)."
چرا پاکسازی داده‌ها (Data Cleaning) برای ذینفعان اهمیت دارد؟,زیرا باعث ایجاد اعتماد به نتایج و دقت در تصمیم‌گیری‌های تجاری می‌شود.
در SQL، علامت _____ برای انتخاب تمامی ستون‌های یک جدول استفاده می‌شود.,*
کدام کلمه کلیدی در SQL برای حذف مقادیر تکراری و نمایش مقادیر منحصربه‌فرد استفاده می‌شود؟,DISTINCT
در دستور SELECT، هدف از استفاده از کلمه کلیدی WHERE چیست؟,فیلتر کردن ردیف‌ها بر اساس یک شرط خاص.
قانون PEMDAS در SQL به چه معناست؟,ترتیب اولویت عملیات ریاضی (پرانتز، توان، ضرب، تقسیم، جمع و تفریق).
برای محدود کردن نتایج خروجی به ۱۰۰۰ ردیف در MySQL از چه دستوری استفاده می‌شود؟,LIMIT 1000
تفاوت `Calculated Column` و `Measure` در Power BI چیست؟,ستون محاسباتی در حافظه ذخیره می‌شود، اما Measure در لحظه و بر اساس فیلترها محاسبه می‌گردد.
در Power BI، محیط _____ وظیفه پاکسازی و آماده‌سازی داده‌ها (ETL) را بر عهده دارد.,Power Query
کدام زبان فرمول‌نویسی برای ایجاد محاسبات پیشرفته در Power BI استفاده می‌شود؟,DAX (Data Analysis Expressions).
در معماری مدالیون (Medallion Architecture)، لایه _____ شامل داده‌های کاملاً پاکسازی شده و غنی شده است.,Silver (نقره‌ای)
هدف از لایه Gold در دیتابریکس (Databricks) چیست؟,ارائه داده‌های نهایی و تجمیع شده برای گزارش‌های مدیریتی و KPIها.
در پلتفرم AWS، سرویس _____ برای اجرای کوئری‌های SQL مستقیم روی فایل‌های ذخیره شده در S3 استفاده می‌شود.,Amazon Athena
سرویس معادل Amazon S3 در پلتفرم Microsoft Azure چیست؟,Azure Blob Storage
در دیتابریکس، _____ برای نگهداری فایل‌های خام و ساختارنیافته قبل از تبدیل به جدول استفاده می‌شود.,Volumes
تکنیک 'Think Out Loud' در مصاحبه‌های فنی به چه معناست؟,توضیح دادن شفاهی منطق و فرآیند حل مسئله همزمان با کدنویسی.
برای یک فرد بدون سابقه کار در حوزه داده، کدام دو بخش باید در ابتدای رزومه قرار گیرند؟,مهارت‌ها (Skills) و پروژه‌ها (Projects).
بهترین روش برای ارسال رزومه و افزایش شانس استخدام چیست؟,ارتباط مستقیم با استخدام‌کنندگان (Recruiters) و دریافت ارجاع (Referral) از طریق لینکدین.
ساخت یک وب‌سایت پورتفولیو چه مزیتی در مصاحبه دارد؟,اجازه می‌دهد به جای پاسخ‌های تئوری، به شواهد عملی کار با داده‌ها ارجاع دهید.
در SQL، عملگر _____ برای بررسی عدم تساوی دو مقدار به کار می‌رود.,!=
فرآیند شناسایی و حذف ردیف‌های تکراری در چرخه پاکسازی داده چه نام دارد؟,Deduplication
در اکسل، ابزار _____ برای خلاصه سازی حجم زیادی از داده‌ها و تحلیل سریع آن‌ها استفاده می‌شود.,Pivot Table
چرا یادگیری پایتون (Python) برای تحلیل‌گران داده چالش‌برانگیزتر از SQL در نظر گرفته می‌شود؟,به دلیل سینتکس پیچیده‌تر و زمان‌بر بودن یادگیری اصول اولیه برنامه‌نویسی.
کدام کتابخانه پایتون بیشترین کاربرد را در دستکاری و تحلیل داده‌های جدولی دارد؟,Pandas
در Tableau، از _____ برای دسته‌بندی داده‌های عددی پیوسته به گروه‌های مجزا استفاده می‌شود.,Bins
سرویس Azure Data Factory عمدتاً برای چه هدفی استفاده می‌شود؟,ارکستراسیون و مدیریت پایپ‌لاین‌های انتقال داده (ETL).
در AWS، وظیفه سرویس Glue Crawler چیست؟,بررسی خودکار ساختار فایل‌ها در S3 و ایجاد متادیتا در کاتالوگ داده.
موتور پردازش درون‌حافظه‌ای SPICE متعلق به کدام ابزار هوش تجاری است؟,Amazon QuickSight
در پلتفرم دیتابریکس، ابزار _____ به کاربران بیزینسی اجازه می‌دهد با زبان طبیعی از داده‌ها گزارش بگیرند.,Databricks Genie
بر اساس نقشه راه ۲۰۲۶، کل فرآیند تبدیل شدن به تحلیل‌گر داده به طور متوسط چقدر زمان می‌برد؟,حدود ۶ ماه.
چرا نباید نتایج کوئری‌های آتنا (Athena) را در همان فولدری که داده‌های منبع قرار دارند ذخیره کرد؟,زیرا آتنا فایل‌های خروجی را هم به عنوان داده‌های جدید ورودی می‌خواند و نتایج را خراب می‌کند.
در رزومه‌های تحلیل داده، چرا استفاده از اعداد و مقادیر کمی (مانند کاهش ۵۰ درصدی زمان) توصیه می‌شود؟,برای نشان دادن تاثیر ملموس و ارزش تجاری اقدامات انجام شده.
نرم‌افزارهای ATS در فرآیند استخدام چه وظیفه‌ای دارند؟,اسکن خودکار رزومه‌ها برای یافتن کلمات کلیدی و مهارت‌های مورد نیاز.
در Power BI، برای تغییر ساختار داده از حالت ستون‌های عریض به ردیف‌های بلند از چه عملیاتی استفاده می‌شود؟,Unpivot Columns
کدام نوع رابطه (Cardinality) در مدل‌سازی داده‌ها بین جدول 'ابعاد' و جدول 'واقعیت' استاندارد است؟,یک به چند ($1:*$).
تابع _____ در SQL برای استخراج بخشی از یک رشته متنی (مثلاً جدا کردن کد پستی از آدرس) استفاده می‌شود.,SUBSTRING
در مصاحبه‌های شغلی، تفاوت سوالات 'Hard' و 'Very Hard' در چیست؟,سوالات Very Hard معمولاً شامل تمیزسازی رشته‌های بسیار نامنظم و منطق‌های پیچیده مهندسی داده هستند.
استفاده از GitHub Pages برای میزبانی پورتفولیو چه مزیت فنی دارد؟,تسلط شما بر Git و کنترل نسخه را به کارفرما نشان می‌دهد.
در SQL، برای فیلتر کردن نتایجی که بین دو مقدار خاص هستند از کلمه کلیدی _____ استفاده می‌شود.,BETWEEN
در چرخه پاکسازی داده، تفاوت Standardization و Normalization چیست؟,استانداردسازی روی فرمت ثابت داده‌ها تمرکز دارد، اما نرمال‌سازی داده‌ها را به یک مقیاس مشترک می‌برد.
کدام ابزار کلود برای تحلیل‌های 'سرورلس' با هزینه بسیار پایین (۵ دلار در هر ترابایت) در آژور مناسب است؟,Azure Synapse Serverless SQL Pools
در رزومه، اگر سابقه کاری غیرمرتبط دارید (مانند تدریس)، چه استراتژی‌ای باید در پیش بگیرید؟,برجسته کردن جنبه‌های تحلیلی آن شغل مانند کار با نمرات در اکسل یا گزارش‌دهی.
سرویس QuickSight در مقایسه با Tableau و Power BI چه مزیتی دارد؟,هماهنگی کامل و ارزان‌تر با زیرساخت‌ها و امنیت پلتفرم AWS.
در SQL، دستور _____ برای ترکیب داده‌های دو یا چند جدول بر اساس یک ستون مشترک استفاده می‌شود.,JOIN
پلتفرم Analyst Builder عمدتاً چه امکاناتی به کاربران ارائه می‌دهد؟,دوره های پیشرفته، پروژه های عمیق و محیط تمرین برای مصاحبه های SQL و پایتون.
تفاوت داده‌های کمّی (Quantitative) و کیفی (Qualitative) چیست؟,داده‌های کمّی عددی و قابل اندازه‌گیری‌اند، اما داده‌های کیفی توصیفی و متنی هستند.
در Power Query، مراحل انجام شده (Applied Steps) به چه زبانی ذخیره می‌شوند؟,M
در SQL، برای مرتب‌سازی نتایج به صورت نزولی از چه کلمه‌ای در انتهای ORDER BY استفاده می‌شود؟,DESC
هدف از استفاده از 'CTE' در کوئری‌های پیچیده SQL چیست؟,بهبود خوانایی کد و ایجاد جداول موقت برای محاسبات مرحله‌ای.
در لینکدین، گزینه 'Open to Work' را چگونه تنظیم کنیم تا مدیر فعلی متوجه نشود؟,نمایش را روی حالت 'Recruiters only' تنظیم کنید.
چرا یادگیری یک ابزار BI مانند Tableau باعث می‌شود یادگیری Power BI آسان‌تر شود؟,چون مفاهیم اصلی مانند ابعاد، شاخص‌ها و اسلایسرها در هر دو ابزار مشابه و انتقال‌پذیر هستند.
در پایتون، متد `df.describe()` چه اطلاعاتی ارائه می‌دهد؟,خلاصه‌ای آماری شامل میانگین، انحراف معیار، مقادیر مینیمم و ماکزیمم ستون‌های عددی.
در دیتابریکس، تفاوت 'Notebook' و 'SQL Editor' چیست؟,نوت‌بوک از چند زبان (پایتون، SQL، R) پشتیبانی می‌کند، اما SQL Editor تخصصی برای کدنویسی SQL است.
کدام گواهینامه‌ها در رزومه تحلیل داده ارزش بالایی دارند؟,گواهینامه‌های رسمی مرجع مانند Tableau Certified یا AWS Cloud Practitioner.
در SQL، تابع تحلیلی `ROW_NUMBER()` چه کاربردی دارد؟,اختصاص یک شماره ردیف منحصربه‌فرد به هر سطر درون یک دسته‌بندی مشخص.
چرا به جای آپلود مستقیم فایل در آتنا، استفاده از Glue Crawler توصیه می‌شود؟,برای خودکارسازی فرآیند شناسایی اسکیما و جلوگیری از خطای انسانی در تعریف جداول.
در اکسل، تابع `VLOOKUP` با `XLOOKUP` چه تفاوت اصلی دارد؟,توابع XLOOKUP منعطف‌تر هستند و نیازی به شماره ستون ثابت یا مرتب بودن داده‌ها ندارند.
در معماری مدالیون، لایه برنز (Bronze) چه نقشی دارد؟,ذخیره داده‌های خام و دست‌نخورده دقیقاً به همان صورتی که از منبع دریافت شده‌اند.
در لینکدین، پاداش ارجاع (Referral Bonus) چه تاثیری بر شانس شما دارد؟,باعث می‌شود کارمندان انگیزه مالی بالایی برای معرفی شما به سیستم استخدام داشته باشند.
در SQL، تفاوت عملگر `AND` و `OR` چیست؟,در AND هر دو شرط باید برقرار باشند، اما در OR برقرار بودن حداقل یک شرط کافی است.
منظور از 'Clean Data' در دنیای تحلیل داده چیست؟,داده‌ای که دقیق، سازگار، کامل و بدون ناهنجاری است.
در Power BI، بخش 'Model View' چه کاربردی دارد؟,مدیریت ارتباطات بین جداول و تعیین کلیدهای اصلی و خارجی.
فرمت فایل _____ به دلیل ذخیره‌سازی ستونی و فشرده، برای کار با کلان‌داده‌ها در محیط‌های ابری بسیار بهینه است.,Parquet
در مصاحبه فنی، اگر با خطا (Error) روبرو شدید، بهترین واکنش چیست؟,خطا را با صدای بلند بخوانید، علت را ریشه‌یابی و سپس کد را اصلاح کنید.
تفاوت اصلی SQL و اکسل در مدیریت داده‌های حجیم چیست؟,SQL برای میلیون‌ها ردیف داده طراحی شده و سرعت پردازش بسیار بالاتری نسبت به اکسل دارد.
در رزومه، بخش 'Skills' باید شامل چه نوع مهارت‌هایی باشد؟,مهارت‌های سخت و فنی (Hard Skills) مانند ابزارهای برنامه نویسی و دیتابیس.
در پایتون، تفاوت لیست (List) و دیکشنری (Dictionary) چیست؟,لیست مجموعه‌ای مرتب از مقادیر است، اما دیکشنری داده‌ها را به صورت جفت‌های کلید-مقدار ذخیره می‌کند.
در دیتابریکس، 'Delta Table' چه مزیتی نسبت به فایل Parquet معمولی دارد؟,پشتیبانی از تراکنش‌های ACID و امکان بازگشت به نسخه‌های قبلی داده (Time Travel).
چرا استفاده از تمپلارهای HTML5 برای ساخت پورتفولیو توصیه می‌شود؟,زیرا حرفه‌ای‌تر به نظر می‌رسند و قابلیت شخصی‌سازی بالایی برای نمایش پروژه‌ها دارند.
در چرخه ETL، مرحله Transform شامل چه اقداماتی است؟,تمیزسازی، فیلتر کردن، تجمیع و تغییر فرمت داده‌ها برای آماده‌سازی جهت تحلیل.
